_id,Row Labels,Under $50K,$50K to $100K,$100K to $150K,$150K to $200K,$200K to $250K,$250K to $300K,$300K to $350K,$350K to $400K,$400K to $450K,$450K to $500K,Over $500K,Total
351,42003552100,1,0,0,0,0,0,0,0,0,0,0,1
352,42003552200,3,4,1,0,1,0,0,0,0,0,0,9
353,42003552300,24,0,0,0,0,0,0,0,0,0,0,24
354,42003552400,27,12,2,0,0,0,0,0,0,0,0,41
355,42003560400,1,0,0,1,0,0,0,0,0,0,0,2
356,42003560500,4,0,3,3,1,2,1,2,2,0,0,18
357,42003560600,5,1,0,0,0,0,0,0,0,0,0,6
358,42003561000,3,2,0,0,0,0,0,0,0,0,0,5
359,42003561100,2,1,0,0,0,0,0,0,0,0,0,3
360,42003561200,4,0,0,1,0,0,0,0,0,0,0,5
361,42003561400,22,12,12,7,2,1,1,0,0,0,0,57
362,42003561500,22,5,2,0,0,0,1,0,0,0,0,30
363,42003561600,13,11,0,0,0,0,0,0,0,0,0,24
364,42003561700,8,3,0,0,0,0,0,0,0,0,0,11
365,42003561900,10,2,0,0,0,0,0,0,0,0,0,12
366,42003562000,0,0,0,0,0,1,0,0,1,0,3,5
367,42003562300,12,9,5,0,2,0,0,0,0,0,0,28
368,42003562400,20,3,5,3,1,0,0,0,0,0,0,32
369,42003562500,15,16,4,2,0,0,0,0,0,0,0,37
370,42003562600,14,11,7,0,0,0,0,0,0,0,0,32
371,42003562700,0,0,0,0,0,1,1,0,0,0,3,5
372,42003562800,3,5,3,4,3,0,0,0,0,0,0,18
373,42003562900,9,6,3,4,3,2,1,0,0,0,0,28
374,42003563000,4,6,8,1,0,0,0,0,0,0,0,19
375,42003563100,5,6,10,11,7,2,2,0,0,0,0,43
376,42003563200,7,3,2,4,1,0,3,3,1,1,3,28
377,42003563300,0,0,0,1,0,0,0,0,1,0,6,8
378,42003563800,4,0,5,6,7,1,2,2,0,0,6,33
379,42003563900,8,15,13,15,4,1,0,0,0,0,0,56
380,42003564000,1,5,3,1,11,14,3,15,11,7,5,76
381,42003564100,0,0,0,2,0,1,1,0,0,1,2,7
382,42003564200,2,1,5,7,0,2,2,0,0,0,0,19
383,42003564400,12,22,21,11,2,2,0,0,0,0,0,70
384,42003564500,1,2,8,8,6,3,0,0,0,2,0,30
385,42003980500,0,1,0,0,0,0,0,0,0,0,0,1
386,42125746100,1,0,0,0,0,0,0,0,0,0,0,1
